units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
176,2,tanh,adam,0.001,0.1,1e-05,053,COMPLETED,0.8784662485122681,0.7203791737556458,0.5066666603088379,0.8967580795288086,0.2822084128856659
192,3,relu,adam,0.001,0.2,1e-05,096,COMPLETED,0.878417432308197,0.7117903828620911,0.5433333516120911,0.8987531065940857,0.28022363781929016
160,2,tanh,adam,0.0003,0.1,1e-05,156,COMPLETED,0.8784086108207703,0.7227272987365723,0.5299999713897705,0.8992518782615662,0.28184276819229126
96,2,tanh,adam,0.0003,0.1,1e-05,187,COMPLETED,0.878333330154419,0.720588207244873,0.49000000953674316,0.895261824131012,0.2764407992362976
32,1,tanh,adam,0.0003,0.2,1e-05,048,COMPLETED,0.878330409526825,0.7109004855155945,0.5,0.8947631120681763,0.2738713324069977
96,1,tanh,adam,0.0003,0.30000000000000004,0.0001,152,COMPLETED,0.8782258033752441,0.7163461446762085,0.49666666984558105,0.895261824131012,0.2835642397403717
64,1,tanh,adam,0.0003,0.30000000000000004,1e-05,103,COMPLETED,0.8781124353408813,0.7203791737556458,0.5066666603088379,0.8967580795288086,0.27638909220695496
96,1,tanh,adam,0.001,0.0,1e-05,019,COMPLETED,0.878000020980835,0.7355769276618958,0.5099999904632568,0.8992518782615662,0.2800557017326355
64,3,tanh,adam,0.0003,0.2,0.0001,153,COMPLETED,0.8779022693634033,0.7016806602478027,0.5566666722297668,0.8982543349266052,0.2918303310871124
176,3,tanh,adam,0.0003,0.1,0.0001,172,COMPLETED,0.8778328895568848,0.7170731425285339,0.49000000953674316,0.8947631120681763,0.3170829117298126
96,3,relu,adam,0.001,0.2,1e-05,157,COMPLETED,0.877821147441864,0.7056276798248291,0.5433333516120911,0.8977556228637695,0.2800208032131195
32,2,relu,adam,0.001,0.1,1e-05,023,COMPLETED,0.8778083920478821,0.7227272987365723,0.5299999713897705,0.8992518782615662,0.28148382902145386
96,3,relu,adam,0.001,0.0,0.0001,024,COMPLETED,0.8777585625648499,0.7113820910453796,0.5833333134651184,0.9022443890571594,0.2970576286315918
176,2,relu,adam,0.001,0.2,1e-06,174,COMPLETED,0.8775678873062134,0.7104072570800781,0.5233333110809326,0.8967580795288086,0.2798837423324585
112,1,tanh,adam,0.001,0.4,1e-05,021,COMPLETED,0.8775044083595276,0.7317073345184326,0.5,0.8977556228637695,0.2786707878112793
144,4,relu,adam,0.0003,0.2,1e-06,145,COMPLETED,0.8774623870849609,0.7112970948219299,0.5666666626930237,0.9007481336593628,0.2807838022708893
128,3,relu,adam,0.001,0.0,1e-06,150,COMPLETED,0.8773646354675293,0.6935483813285828,0.5733333230018616,0.8982543349266052,0.2743534743785858
32,3,relu,adam,0.0003,0.1,0.0,149,COMPLETED,0.8773431181907654,0.699999988079071,0.5366666913032532,0.8962593674659729,0.27780473232269287
128,2,tanh,adam,0.0003,0.0,0.0001,050,COMPLETED,0.8772639632225037,0.7105262875556946,0.5400000214576721,0.8982543349266052,0.30348482728004456
80,1,tanh,adam,0.0003,0.0,0.0,141,COMPLETED,0.8771564364433289,0.7184466123580933,0.4933333396911621,0.895261824131012,0.27557069063186646
176,3,tanh,adam,0.001,0.1,1e-05,059,COMPLETED,0.8771524429321289,0.7473118305206299,0.4633333384990692,0.8962593674659729,0.27977171540260315
176,2,relu,adam,0.001,0.0,0.0,142,COMPLETED,0.8771035671234131,0.7276595830917358,0.5699999928474426,0.903740644454956,0.278098464012146
32,1,tanh,adam,0.0003,0.4,0.0001,191,COMPLETED,0.8769599199295044,0.699999988079071,0.5133333206176758,0.8942643404006958,0.2765442728996277
176,4,tanh,adam,0.0003,0.0,1e-05,044,COMPLETED,0.8768093585968018,0.7463414669036865,0.5099999904632568,0.9007481336593628,0.28060227632522583
176,1,tanh,adam,0.0003,0.1,1e-06,155,COMPLETED,0.8767995834350586,0.7298578023910522,0.5133333206176758,0.8987531065940857,0.28144708275794983
